Time,WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
00:15:00,0.000000E+00,0.000000E+00,3.352645E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.073646E+00,5.960037E+04,1.546666E+05,0.000000E+00,0.000000E+00,3.763113E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.754290E+00,6.627949E+04,1.634729E+05
00:30:00,0.000000E+00,0.000000E+00,2.883161E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.070892E+00,5.859423E+04,1.535909E+05,0.000000E+00,0.000000E+00,3.239415E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.751638E+00,6.516456E+04,1.622905E+05
00:45:00,0.000000E+00,0.000000E+00,2.413678E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.068126E+00,5.758887E+04,1.525159E+05,0.000000E+00,0.000000E+00,2.715718E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.749049E+00,6.405109E+04,1.611103E+05
01:00:00,0.000000E+00,0.000000E+00,1.944197E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.065364E+00,5.658443E+04,1.514419E+05,0.000000E+00,0.000000E+00,2.192023E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.746509E+00,6.293890E+04,1.599324E+05
01:15:00,0.000000E+00,0.000000E+00,1.944166E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.062631E+00,5.590708E+04,1.507041E+05,0.000000E+00,0.000000E+00,2.191992E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.744005E+00,6.219043E+04,1.591282E+05
01:30:00,0.000000E+00,0.000000E+00,1.944136E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.059944E+00,5.523074E+04,1.499682E+05,0.000000E+00,0.000000E+00,2.191962E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.741477E+00,6.144228E+04,1.583242E+05
01:45:00,0.000000E+00,0.000000E+00,1.944107E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.057327E+00,5.455560E+04,1.492345E+05,0.000000E+00,0.000000E+00,2.191934E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.738973E+00,6.069488E+04,1.575212E+05
02:00:00,0.000000E+00,0.000000E+00,1.944079E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.054834E+00,5.388214E+04,1.485046E+05,0.000000E+00,0.000000E+00,2.191906E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.736504E+00,5.994834E+04,1.567197E+05
02:15:00,0.000000E+00,0.000000E+00,1.944053E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.052413E+00,5.337252E+04,1.479440E+05,0.000000E+00,0.000000E+00,2.191880E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.734073E+00,5.938367E+04,1.561055E+05
02:30:00,0.000000E+00,0.000000E+00,1.944028E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.050046E+00,5.286378E+04,1.473851E+05,0.000000E+00,0.000000E+00,2.191855E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.731690E+00,5.881981E+04,1.554928E+05
02:45:00,0.000000E+00,0.000000E+00,1.944003E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.047713E+00,5.235571E+04,1.468274E+05,0.000000E+00,0.000000E+00,2.191831E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.729383E+00,5.825699E+04,1.548821E+05
03:00:00,0.000000E+00,0.000000E+00,1.943980E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.045358E+00,5.184782E+04,1.462696E+05,0.000000E+00,0.000000E+00,2.191807E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.727028E+00,5.769414E+04,1.542708E+05
03:15:00,0.000000E+00,0.000000E+00,1.943958E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.043013E+00,5.134040E+04,1.457124E+05,0.000000E+00,0.000000E+00,2.191785E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.724619E+00,5.713121E+04,1.536587E+05
03:30:00,0.000000E+00,0.000000E+00,1.943936E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.040683E+00,5.083349E+04,1.451560E+05,0.000000E+00,0.000000E+00,2.191764E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.722132E+00,5.656801E+04,1.530452E+05
03:45:00,0.000000E+00,0.000000E+00,1.943916E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.038377E+00,5.032715E+04,1.446004E+05,0.000000E+00,0.000000E+00,2.191743E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.719530E+00,5.600425E+04,1.524294E+05
04:00:00,0.000000E+00,0.000000E+00,1.943896E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.036113E+00,4.982153E+04,1.440464E+05,0.000000E+00,0.000000E+00,2.191723E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.716929E+00,5.544092E+04,1.518142E+05
04:15:00,0.000000E+00,0.000000E+00,1.943877E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.033848E+00,4.947845E+04,1.436592E+05,0.000000E+00,0.000000E+00,2.191704E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.714332E+00,5.505852E+04,1.513848E+05
04:30:00,0.000000E+00,0.000000E+00,1.943858E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.031546E+00,4.913531E+04,1.432714E+05,0.000000E+00,0.000000E+00,2.191686E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.711754E+00,5.467656E+04,1.509561E+05
04:45:00,0.000000E+00,0.000000E+00,1.943840E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.029194E+00,4.879203E+04,1.428826E+05,0.000000E+00,0.000000E+00,2.191668E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.709203E+00,5.429509E+04,1.505283E+05
05:00:00,0.000000E+00,0.000000E+00,1.943823E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.026775E+00,4.844845E+04,1.424925E+05,0.000000E+00,0.000000E+00,2.191651E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.706686E+00,5.391417E+04,1.501015E+05
05:15:00,0.000000E+00,0.000000E+00,1.943807E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.024456E+00,4.875369E+04,1.427703E+05,0.000000E+00,0.000000E+00,2.191635E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.704360E+00,5.425589E+04,1.504196E+05
05:30:00,0.000000E+00,0.000000E+00,1.943791E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.022732E+00,4.906351E+04,1.430620E+05,0.000000E+00,0.000000E+00,2.191619E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.702798E+00,5.460360E+04,1.507547E+05
05:45:00,0.000000E+00,0.000000E+00,1.943776E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.021983E+00,4.938116E+04,1.433767E+05,0.000000E+00,0.000000E+00,2.191603E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.702522E+00,5.496168E+04,1.511185E+05
06:00:00,0.000000E+00,0.000000E+00,1.943761E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.022099E+00,4.970585E+04,1.437119E+05,0.000000E+00,0.000000E+00,2.191589E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.703702E+00,5.533174E+04,1.515152E+05
06:15:00,0.000000E+00,0.000000E+00,2.334953E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.023553E+00,5.085124E+04,1.449106E+05,0.000000E+00,0.000000E+00,2.627959E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.705902E+00,5.661168E+04,1.528608E+05
