Time,WEST ZONE::Des Heat Load [W],WEST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],WEST ZONE::Des Heat Mass Flow [kg/s],WEST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],EAST ZONE::Des Heat Load [W],EAST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],EAST ZONE::Des Heat Mass Flow [kg/s],EAST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,4.759786E+04,0.000000E+00,4.672036E+00,0.000000E+00,5.293192E+04,0.000000E+00,5.195608E+00
00:30:00,0.000000E+00,4.757628E+04,0.000000E+00,4.669917E+00,0.000000E+00,5.291114E+04,0.000000E+00,5.193568E+00
00:45:00,0.000000E+00,4.755460E+04,0.000000E+00,4.667789E+00,0.000000E+00,5.289085E+04,0.000000E+00,5.191576E+00
01:00:00,0.000000E+00,4.753296E+04,0.000000E+00,4.665665E+00,0.000000E+00,5.287094E+04,0.000000E+00,5.189622E+00
01:15:00,0.000000E+00,4.751154E+04,0.000000E+00,4.663562E+00,0.000000E+00,5.285132E+04,0.000000E+00,5.187696E+00
01:30:00,0.000000E+00,4.749049E+04,0.000000E+00,4.661496E+00,0.000000E+00,5.283151E+04,0.000000E+00,5.185752E+00
01:45:00,0.000000E+00,4.746997E+04,0.000000E+00,4.659482E+00,0.000000E+00,5.281189E+04,0.000000E+00,5.183825E+00
02:00:00,0.000000E+00,4.745044E+04,0.000000E+00,4.657565E+00,0.000000E+00,5.279254E+04,0.000000E+00,5.181926E+00
02:15:00,0.000000E+00,4.743146E+04,0.000000E+00,4.655702E+00,0.000000E+00,5.277349E+04,0.000000E+00,5.180056E+00
02:30:00,0.000000E+00,4.741291E+04,0.000000E+00,4.653882E+00,0.000000E+00,5.275481E+04,0.000000E+00,5.178223E+00
02:45:00,0.000000E+00,4.739463E+04,0.000000E+00,4.652087E+00,0.000000E+00,5.273673E+04,0.000000E+00,5.176448E+00
03:00:00,0.000000E+00,4.737617E+04,0.000000E+00,4.650275E+00,0.000000E+00,5.271827E+04,0.000000E+00,5.174637E+00
03:15:00,0.000000E+00,4.735780E+04,0.000000E+00,4.648472E+00,0.000000E+00,5.269940E+04,0.000000E+00,5.172784E+00
03:30:00,0.000000E+00,4.733954E+04,0.000000E+00,4.646679E+00,0.000000E+00,5.267991E+04,0.000000E+00,5.170871E+00
03:45:00,0.000000E+00,4.732147E+04,0.000000E+00,4.644906E+00,0.000000E+00,5.265952E+04,0.000000E+00,5.168869E+00
04:00:00,0.000000E+00,4.730373E+04,0.000000E+00,4.643164E+00,0.000000E+00,5.263914E+04,0.000000E+00,5.166869E+00
04:15:00,0.000000E+00,4.728598E+04,0.000000E+00,4.641422E+00,0.000000E+00,5.261878E+04,0.000000E+00,5.164871E+00
04:30:00,0.000000E+00,4.726793E+04,0.000000E+00,4.639650E+00,0.000000E+00,5.259858E+04,0.000000E+00,5.162888E+00
